unit -> angles in degrees			
"Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West"	"Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis"	"Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis"	
Timestamp	Azimuth	Pitch	Roll
1.5267884	42.268005	-78.95749	18.349838
1.5318238	42.052917	-78.71829	18.90437
1.5369202	41.811035	-78.4706	19.533585
1.5418944	41.533447	-78.22198	20.215788
1.5469298	41.223297	-77.960724	20.970938
1.5519654	40.881744	-77.69034	21.78549
1.5570617	40.531372	-77.41236	22.655542
1.5620362	40.17935	-77.14544	23.541197
1.5670716	39.84482	-76.8884	24.466934
1.572107	39.520355	-76.653885	25.42368
1.5772034	39.20508	-76.44814	26.426828
1.5821778	38.891846	-76.28825	27.447754
1.5872436	38.615387	-76.17988	28.52916
1.592218	38.371582	-76.13443	29.63152
1.597345	38.161865	-76.15853	30.799456
1.6023194	37.978455	-76.25592	31.958963
1.6073548	37.862244	-76.44029	33.149372
1.61239	37.778748	-76.73288	34.349564
1.6174866	37.712738	-77.17962	35.55211
1.6224608	37.72928	-77.76468	36.65187
1.6274964	38.029907	-78.47181	37.625446
1.6325318	38.649902	-79.22418	38.48481
1.6376281	39.47943	-79.95031	39.332336
1.6426026	40.208252	-80.52372	40.219734
1.647638	40.635895	-80.91398	41.26051
1.6526427	40.669952	-81.14975	42.475197
1.6577698	40.462982	-81.31546	43.881397
1.6627442	40.114838	-81.462875	45.34804
1.6677796	39.667114	-81.59203	46.888096
1.672815	39.0484	-81.62793	48.44017
1.6779114	38.23935	-81.52352	49.967625
1.6828858	37.203552	-81.25226	51.371014
1.6879517	35.931732	-80.77288	52.674973
1.692926	34.429535	-80.087204	53.80652
1.698053	32.662537	-79.14172	54.801025
1.7030272	30.737885	-77.98759	55.590717
1.7080628	28.656311	-76.59672	56.218727
1.7130982	26.44226	-75.014305	56.68303
1.7181946	24.104492	-73.25938	57.002872
1.723169	21.748718	-71.457085	57.183395
1.7282044	19.352875	-69.58698	57.25435
1.7332398	16.957	-67.71191	57.225513
1.7383362	14.555756	-65.84274	57.110146
1.7433106	12.263367	-64.07226	56.92295
1.748346	10.0243225	-62.348564	56.673847
1.7533814	7.8716125	-60.706566	56.37405
1.7584778	5.7951355	-59.141785	56.029114
1.763452	3.8858643	-57.725246	55.660378
1.7684875	2.0688782	-56.403374	55.26713
1.7735229	0.3729248	-55.18857	54.862988
1.7786193	358.78043	-54.068302	54.45559
1.7835938	357.3608	-53.082253	54.06685
1.7886597	356.02734	-52.180775	53.68722
1.7936646	354.8246	-51.391735	53.3338
1.798761	353.71582	-50.69658	53.000076
1.8037354	352.77127	-50.136272	52.702354
1.8087708	351.92624	-49.695843	52.4355
1.8138062	351.22025	-49.39503	52.2057
1.8189026	350.65366	-49.241554	52.01328
1.823877	350.2679	-49.243233	51.86284
1.8289124	350.01212	-49.398235	51.742065
1.8339478	349.89667	-49.7007	51.64485
1.8390442	349.90872	-50.145916	51.561947
1.8440185	350.05835	-50.70646	51.485588
1.8490539	350.29803	-51.388092	51.407715
1.8540893	350.62622	-52.160275	51.32067
1.8591857	351.02197	-53.011223	51.217937
1.8641602	351.47052	-53.884132	51.09421
1.8691956	351.9303	-54.7896	50.941467
1.874231	352.39386	-55.698612	50.75759
1.8793274	352.85367	-56.608574	50.537823
1.8843018	353.3037	-57.47955	50.28814
1.8893676	353.72757	-58.341656	50.00002
1.8943726	354.1285	-59.162766	49.684082
1.899469	354.51852	-59.954266	49.328224
1.9044434	354.91583	-60.692093	48.954956
1.9094788	355.32184	-61.425404	48.569267
1.9145141	355.77338	-62.15676	48.18113
1.9196106	356.30307	-62.903778	47.786438
1.9245849	356.92722	-63.639297	47.390583
1.9296203	357.63684	-64.38604	46.969997
1.9346558	358.43604	-65.131615	46.52177
1.9397521	359.33353	-65.88939	46.038467
1.9447266	0.31707764	-66.64869	45.54079
1.949762	1.4004211	-67.46589	45.01948
1.9547974	2.6010132	-68.35221	44.486324
1.9598938	3.9447021	-69.33681	43.94401
1.9648682	5.4043274	-70.39306	43.419994
1.9699036	7.004486	-71.56161	42.900597
1.974939	8.733978	-72.82159	42.388344
1.9800354	10.5998535	-74.1723	41.863228
1.9850098	12.532654	-75.53651	41.31898
1.9901062	14.577942	-76.94326	40.702015
1.9950805	16.623077	-78.29056	40.01336
2.000177	18.736938	-79.61325	39.197067
2.0051513	20.822327	-80.827995	38.263786
2.0101867	22.936432	-81.9757	37.151516
2.0152223	25.06842	-83.04771	35.82597
2.0203185	27.272552	-84.08815	34.234642
2.025293	29.515656	-85.15308	32.450336
2.0303283	31.833466	-86.19044	30.568146
2.0353332	34.144104	-87.0864	28.78263
2.0404603	36.41925	-87.773735	27.12467
2.0454345	38.473114	-88.184525	25.629156
2.0504699	40.32483	-88.36605	24.142578
2.0555053	41.911316	-88.37108	22.613903
2.0606017	43.230988	-88.24105	21.001879
2.065576	44.24521	-87.9988	19.379293
2.0706115	45.020996	-87.63875	17.725355
2.0756469	45.589417	-87.16671	16.098978
2.0807433	46.02356	-86.59872	14.49792
2.0857177	46.359436	-86.00382	12.986774
2.0907836	46.661102	-85.40515	11.511853
2.095758	46.957855	-84.86233	10.139872
2.1008852	47.279816	-84.35798	8.829794
2.1058593	47.6333	-83.9168	7.6724324
2.1108947	48.042786	-83.482574	6.6290336
